"sku","_store","_attribute_set","_type","_category","_root_category","_product_websites","alt_size_1","alt_size_2","alt_size_3","alt_size_4","color","cost","country_of_manufacture","created_at","created_by","custom_design","custom_design_from","custom_design_to","custom_layout_update","date_created","date_expired","date_modified","description","embellishments","enable_googlecheckout","format","gallery","gift_message_available","has_options","image","image_label","image_size_cm","image_size_inches","manufacturer","media_gallery","meta_description","meta_keyword","meta_title","minimal_price","modified_by","msrp","msrp_display_actual_price_type","msrp_enabled","name","news_from_date","news_to_date","options_container","over_size","page","page_layout","page_size_cm","paper_size_inches","pod","price","required_options","short_description","size_category","small_image","small_image_label","special_from_date","special_price","special_to_date","status","tax_class_id","thumbnail","thumbnail_label","title","total_quantity_on_hand","udf_anycustom","udf_artist_name","udf_copyright","udf_crimage","udf_crline","udf_dnd","udf_embellished","udf_framed","udf_imsource","udf_limited","udf_maxsf","udf_maxsfcm","udf_maxsfin","udf_new","udf_osdp","udf_pricecode","udf_ratiocode","udf_ratiodec","udf_specpaper","udf_tar","updated_at","url_key","url_path","visibility","weight","qty","min_qty","use_config_min_qty","is_qty_decimal","backorders","use_config_backorders","min_sale_qty","use_config_min_sale_qty","max_sale_qty","use_config_max_sale_qty","is_in_stock","notify_stock_qty","use_config_notify_stock_qty","manage_stock","use_config_manage_stock","stock_status_changed_auto","use_config_qty_increments","qty_increments","use_config_enable_qty_inc","enable_qty_increments","is_decimal_divided","_links_related_sku","_links_related_position","_links_crosssell_sku","_links_crosssell_position","_links_upsell_sku","_links_upsell_position","_associated_sku","_associated_default_qty","_associated_position","_tier_price_website","_tier_price_customer_group","_tier_price_qty","_tier_price_price","_group_price_website","_group_price_customer_group","_group_price_price","_media_attribute_id","_media_image","_media_lable","_media_position","_media_is_disabled","_custom_option_store","_custom_option_type","_custom_option_title","_custom_option_is_required","_custom_option_price","_custom_option_sku","_custom_option_max_characters","_custom_option_sort_order","_custom_option_row_title","_custom_option_row_price","_custom_option_row_sku","_custom_option_row_sort","udf_canvas"
"AA3043",,"Topart - Products","simple","Browse Art/Music","Root Category","base",,,,,"red",,,,,,,,,,,,"Brussels tapestry OS",,"1","Landscape",,,"0",,,,,,,"Brussels tapestry OS","tapestry; tree; music; musician; instrument; flue; cello; violin; harp; river; stream; picnic; king; figure; figurative; male; female; woman; man; child; children; bird; eagle; castle; yellow; red; blue; ivory; brown; green; catalogue 2005","Brussels tapestry OS",,,,"Use config","Use config","Brussels tapestry OS",,,"Block after Info Column","Yes",,,"132 x 97","52 x 38 1/8","Yes","70.0","0","Brussels tapestry OS",,,,,,,"1","2",,,,"0.0","Yes","ANONYMOUS 18th C.","No",,,"No","No","Yes","Italy","No",,,,"No","Yes","R","3:4",,,"Yes",,"Brussels-tapestry-OS-AA3043",,"4","1","0.0","0","1","0","0","1","1","1","0","1","1",,"1","1","1","0","1","0","1","0","0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Yes"
,,,,"Collections/Oversize Variety","Root Category",,,,,,"yellow",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,"green",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,"blue",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,"brown",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"AA3043DG",,"Topart - Products","simple","Browse Art/Animals","Root Category","base",,,,,"red",,,,,,,,,,,,"Brussels Tapestry",,"1","Landscape",,,"1",,,,,,,"Brussels Tapestry","tapestry; tree; music; musician; instrument; flue; cello; violin; harp; river; stream; picnic; king; figure; figurative; male; boy; person; people; female; boy; woman; man; child; children; bird; animal; eagle; castle; yellow; red; blue; ivory; brown; green; catalogue 2005;museum","Brussels Tapestry",,,,"Use config","Use config","Brussels Tapestry",,,"Block after Info Column","Yes",,,,,"Yes","0.0","1","Brussels Tapestry",,,,,,,"1","2",,,,0,"Yes","ANONYMOUS 18th C.","No",,,"No","No","Yes","Italy","No",,,,"No","Yes",,"3:4",,,"Yes",,"Brussels-Tapestry-AA3043DG",,"4","1","0","0","1","0","0","1","1","1","0","1","0",,"0","0","0","0","1","0","1","0","0",,,,,,,,,,,,,,,,,,,,,,,"radio","Material","1",,,"0","0","Paper","0.00","material_paper","0","Yes"
,,,,"Browse Art/Music","Root Category",,,,,,"yellow",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Canvas","0.00","material_canvas","1",
,,,,"Browse Art/People","Root Category",,,,,,"green",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"radio","Size","1",,,"0","1","Petite: 12""x16""","37.800000000000004","size_paper_petite_ui_28",0,
